iter	Passed	Remaining
0	198	198068
1	246	122948
2	266	88500
3	281	70215
4	300	59716
5	317	52593
6	335	47558
7	353	43783
8	370	40846
9	389	38586
10	408	36762
11	428	35282
12	445	33852
13	463	32653
14	483	31764
15	504	30997
16	522	30187
17	539	29454
18	559	28865
19	577	28284
20	595	27775
21	613	27288
22	632	26858
23	652	26550
24	671	26202
25	696	26101
26	714	25746
27	732	25416
28	750	25136
29	768	24845
30	786	24594
31	804	24322
32	822	24095
33	841	23896
34	859	23700
35	878	23529
36	897	23368
37	916	23192
38	935	23039
39	953	22876
40	971	22719
41	988	22555
42	1006	22407
43	1025	22291
44	1044	22159
45	1061	22017
46	1078	21878
47	1095	21730
48	1112	21595
49	1132	21519
50	1149	21387
51	1165	21255
52	1182	21124
53	1198	20999
54	1214	20872
55	1233	20788
56	1249	20677
57	1265	20558
58	1282	20451
59	1298	20344
60	1314	20234
61	1331	20139
62	1349	20071
63	1368	20009
64	1384	19917
65	1400	19822
66	1416	19729
67	1433	19648
68	1449	19556
69	1465	19476
70	1482	19393
71	1498	19311
72	1515	19241
73	1531	19164
74	1547	19087
75	1563	19005
76	1579	18928
77	1596	18866
78	1616	18845
79	1635	18812
80	1652	18745
81	1668	18677
82	1684	18612
83	1700	18548
84	1716	18482
85	1732	18414
86	1748	18350
87	1764	18289
88	1781	18237
89	1797	18176
90	1814	18121
91	1831	18075
92	1847	18018
93	1864	17966
94	1881	17928
95	1899	17887
96	1916	17842
97	1933	17793
98	1949	17742
99	1965	17692
100	1982	17648
101	1999	17602
102	2014	17545
103	2033	17515
104	2049	17465
105	2064	17414
106	2080	17361
107	2096	17313
108	2112	17268
109	2131	17247
110	2148	17211
111	2165	17168
112	2184	17148
113	2201	17112
114	2218	17075
115	2235	17035
116	2252	16996
117	2268	16953
118	2283	16909
119	2300	16872
120	2316	16827
121	2332	16783
122	2349	16748
123	2365	16712
124	2382	16676
125	2397	16632
126	2413	16593
127	2430	16557
128	2446	16521
129	2463	16485
130	2479	16451
131	2496	16413
132	2512	16381
133	2528	16338
134	2544	16302
135	2560	16269
136	2576	16232
137	2593	16198
138	2611	16174
139	2630	16161
140	2648	16132
141	2664	16096
142	2680	16066
143	2697	16036
144	2714	16003
145	2730	15968
146	2745	15931
147	2761	15898
148	2777	15865
149	2794	15832
150	2810	15799
151	2825	15763
152	2843	15742
153	2859	15708
154	2875	15675
155	2891	15643
156	2908	15615
157	2923	15581
158	2939	15549
159	2957	15525
160	2975	15504
161	2991	15474
162	3007	15441
163	3023	15410
164	3038	15374
165	3057	15360
166	3073	15331
167	3089	15302
168	3108	15286
169	3125	15260
170	3141	15230
171	3161	15217
172	3177	15188
173	3193	15159
174	3210	15134
175	3227	15111
176	3244	15083
177	3259	15053
178	3275	15023
179	3291	14992
180	3306	14961
181	3322	14932
182	3338	14902
183	3354	14876
184	3371	14851
185	3388	14828
186	3404	14802
187	3420	14773
188	3436	14744
189	3452	14717
190	3467	14688
191	3483	14660
192	3499	14633
193	3515	14606
194	3531	14580
195	3548	14555
196	3566	14535
197	3584	14520
198	3605	14514
199	3622	14489
200	3641	14477
201	3657	14449
202	3674	14425
203	3691	14402
204	3707	14379
205	3724	14354
206	3740	14330
207	3756	14303
208	3771	14275
209	3787	14249
210	3803	14221
211	3818	14193
212	3834	14168
213	3850	14142
214	3866	14115
215	3882	14091
216	3898	14067
217	3913	14039
218	3929	14012
219	3945	13988
220	3960	13960
221	3976	13933
222	3992	13910
223	4007	13884
224	4025	13864
225	4042	13843
226	4057	13818
227	4074	13794
228	4092	13777
229	4109	13757
230	4126	13735
231	4142	13711
232	4158	13689
233	4175	13669
234	4193	13650
235	4212	13635
236	4227	13611
237	4244	13590
238	4259	13564
239	4276	13541
240	4292	13518
241	4308	13493
242	4324	13472
243	4341	13451
244	4357	13429
245	4374	13406
246	4390	13383
247	4406	13361
248	4422	13339
249	4439	13317
250	4455	13296
251	4471	13271
252	4487	13250
253	4504	13230
254	4520	13207
255	4537	13186
256	4554	13166
257	4573	13154
258	4593	13142
259	4610	13122
260	4627	13102
261	4642	13077
262	4658	13053
263	4674	13031
264	4691	13011
265	4707	12990
266	4725	12972
267	4742	12952
268	4757	12929
269	4773	12906
270	4789	12884
271	4806	12864
272	4826	12852
273	4842	12831
274	4859	12811
275	4876	12792
276	4893	12772
277	4912	12758
278	4930	12741
279	4948	12723
280	4964	12702
281	4981	12682
282	4998	12663
283	5014	12640
284	5029	12617
285	5045	12597
286	5062	12575
287	5080	12560
288	5096	12539
289	5112	12516
290	5128	12494
291	5144	12473
292	5160	12451
293	5175	12429
294	5191	12407
295	5207	12385
296	5224	12366
297	5243	12352
298	5260	12332
299	5277	12314
300	5294	12294
301	5310	12273
302	5326	12253
303	5341	12229
304	5356	12206
305	5373	12186
306	5389	12165
307	5405	12143
308	5420	12122
309	5437	12102
310	5453	12081
311	5469	12060
312	5485	12039
313	5501	12020
314	5519	12002
315	5535	11982
316	5550	11959
317	5567	11941
318	5586	11926
319	5603	11907
320	5621	11891
321	5637	11870
322	5654	11852
323	5670	11831
324	5685	11809
325	5701	11787
326	5716	11765
327	5732	11745
328	5749	11725
329	5765	11705
330	5784	11692
331	5801	11672
332	5819	11655
333	5837	11640
334	5853	11619
335	5869	11598
336	5886	11580
337	5901	11558
338	5917	11538
339	5933	11517
340	5949	11497
341	5967	11480
342	5983	11461
343	6000	11442
344	6016	11422
345	6033	11403
346	6052	11390
347	6072	11376
348	6088	11356
349	6104	11337
350	6121	11319
351	6137	11299
352	6154	11280
353	6171	11261
354	6187	11241
355	6204	11224
356	6231	11224
357	6247	11203
358	6263	11184
359	6280	11165
360	6298	11149
361	6313	11127
362	6330	11108
363	6346	11089
364	6362	11068
365	6377	11048
366	6395	11030
367	6410	11010
368	6428	10992
369	6444	10973
370	6461	10955
371	6476	10933
372	6493	10914
373	6509	10895
374	6525	10876
375	6541	10856
376	6562	10844
