carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,weekday,month,is_weekend,pm2_5_avg_3h,temperature_avg_3h,pm2_5_change_rate,pm10_change_rate,ozone_change_rate,pm_ratio,temp_pm2_5,humidity_pm2_5,hour_sin,hour_cos,wday_sin,wday_cos,month_sin,month_cos,wind_dir_sin,wind_dir_cos,pm2_5_mean_6h,pm2_5_std_6h,pm2_5_min_6h,pm2_5_max_6h,pm2_5_mean_12h,pm2_5_std_12h,pm2_5_min_12h,pm2_5_max_12h,pm10_mean_6h,pm10_std_6h,pm10_min_6h,pm10_max_6h,pm10_mean_12h,pm10_std_12h,pm10_min_12h,pm10_max_12h,pm2_5_lag_1h,pm2_5_lag_3h,pm2_5_lag_24h,pm2_5_lag_168h,pm10_lag_1h,pm10_lag_3h,pm10_lag_24h,pm10_lag_168h,temperature_2m_lag_1h,temperature_2m_lag_3h,temperature_2m_lag_24h,temperature_2m_lag_168h,relative_humidity_2m_lag_1h,relative_humidity_2m_lag_3h,relative_humidity_2m_lag_24h,relative_humidity_2m_lag_168h,ozone_lag_1h,ozone_lag_3h,ozone_lag_24h,ozone_lag_168h,wind_speed_10m_lag_1h,wind_speed_10m_lag_3h,wind_speed_10m_lag_24h,wind_speed_10m_lag_168h,pm10_t+3h
763.0,35.1,25.0,7.2,23.4,100,3.5,0,6,9,1,32.36666666666667,23.733333333333334,-4.200000000000003,-6.199999999999996,9.0,0.7019704260598417,666.9,2850.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.9135454576426009,0.4067366430758002,36.38333333333333,5.16194407821962,28.5,42.6,40.1,7.9282005295251174,27.1,50.9,51.949999999999996,7.367699776728093,40.6,60.8,57.291666666666664,11.326674737364897,38.8,72.6,32.7,38.4,26.8,36.4,46.8,54.9,38.3,54.7,23.9,24.4,22.8,25.9,98.0,97.0,97.0,91.0,16.0,18.0,60.0,39.0,4.0,4.3,16.1,5.4,41.6
714.0,31.8,42.0,8.5,24.9,97,5.7,1,6,9,1,29.633333333333336,24.066666666666666,-0.8000000000000007,-1.0,17.0,0.699494931830936,689.7299999999999,2686.9,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.8191520442889918,0.5735764363510462,33.9,5.157130985344431,27.7,40.2,40.15,7.840164655042682,27.7,50.9,48.416666666666664,7.358102110372316,39.6,57.3,57.35833333333333,11.209692099683048,39.6,72.6,28.5,35.9,28.3,34.9,40.6,51.3,40.5,52.7,23.4,23.9,25.0,26.6,100.0,98.0,92.0,90.0,25.0,17.0,66.0,50.0,3.5,4.4,5.7,5.6,38.1
644.0,27.0,68.0,10.4,25.9,93,9.2,2,6,9,1,28.233333333333334,24.733333333333334,0.8000000000000007,1.1000000000000014,26.0,0.7002456830406466,738.15,2650.5,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.898794046299167,0.43837114678907746,31.95,4.463966845754947,27.7,38.4,39.108333333333334,8.5180512424906,27.7,50.9,45.65,6.409602171741911,39.6,54.9,55.86666666666667,12.178545467212789,39.6,72.6,27.7,32.7,30.0,37.7,39.6,46.8,43.0,56.6,24.9,23.9,24.2,27.6,97.0,98.0,94.0,88.0,42.0,16.0,75.0,66.0,5.7,4.0,8.0,4.5,32.7
572.0,21.9,93.0,11.3,27.4,86,7.6,3,6,9,1,28.433333333333337,26.066666666666666,0.6000000000000014,0.8999999999999986,25.0,0.6995192139538651,797.34,2502.6,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.8571673007021123,0.5150380749100542,30.400000000000002,3.2168307384752435,27.7,35.9,37.516666666666666,8.448973400073537,27.7,50.9,43.43333333333334,4.62111097753182,39.6,51.3,53.59166666666667,12.071940292440223,39.6,72.6,28.5,28.5,30.3,38.6,40.7,40.6,43.3,58.8,25.9,23.4,24.9,29.1,93.0,100.0,93.0,83.0,68.0,25.0,90.0,87.0,9.2,3.5,5.9,3.1,29.5
498.0,16.1,119.0,10.5,28.6,80,4.8,4,6,9,1,28.066666666666666,27.3,-2.5,-3.5,26.0,0.6981627113343121,760.7600000000001,2128.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.8910065241883678,0.4539904997395468,28.850000000000005,2.0743673734415986,26.6,32.7,35.85,8.46688737483737,26.6,50.9,41.233333333333334,2.976351233753319,38.1,46.8,51.21666666666667,12.083560081467027,38.1,72.6,29.1,27.7,31.9,33.9,41.6,39.6,45.9,52.4,27.4,24.9,26.7,30.6,86.0,97.0,84.0,77.0,93.0,42.0,114.0,117.0,7.6,5.7,8.0,3.3,28.9
423.0,10.0,145.0,8.9,29.8,75,3.9,5,6,9,1,26.166666666666668,28.600000000000005,-3.8000000000000007,-5.399999999999999,26.0,0.6972476850994592,679.44,1710.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.8290375725550417,0.5591929034707468,27.2,2.3220680437917403,22.8,29.1,33.50833333333333,7.784420143446496,22.8,49.1,38.88333333333333,3.2554057606794156,32.7,41.6,47.89166666666666,11.115464929820059,32.7,70.3,26.6,28.5,31.3,29.9,38.1,40.7,45.1,46.6,28.6,25.9,28.8,31.8,80.0,93.0,75.0,68.0,119.0,68.0,143.0,152.0,4.8,9.2,10.7,4.3,28.6
369.0,5.7,165.0,7.7,30.9,69,3.3,6,6,9,1,23.33333333333334,29.76666666666667,-2.1999999999999993,-3.200000000000003,20.0,0.6983050610744047,636.54,1421.4,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.6560590289905073,0.754709580222772,25.883333333333336,3.418430439056105,20.6,29.1,31.13333333333333,6.89140879294747,20.6,42.6,37.03333333333333,4.848779915263694,29.5,41.6,44.49166666666667,9.800228043110454,29.5,60.8,22.8,29.1,28.6,27.7,32.7,41.6,41.1,43.2,29.8,27.4,30.0,32.4,75.0,86.0,71.0,65.0,145.0,93.0,166.0,178.0,3.9,7.6,9.2,4.7,29.3
349.0,4.2,177.0,7.5,31.9,64,3.6,7,6,9,1,21.200000000000003,30.86666666666667,-0.40000000000000213,-0.6000000000000014,12.0,0.6989619135307297,644.38,1292.8,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.10452846326765347,0.9945218953682733,24.633333333333336,3.951033620037316,20.2,29.1,29.266666666666666,6.527192537702632,20.2,40.2,35.25,5.622010316603642,28.9,41.6,41.833333333333336,9.287463038794202,28.9,57.3,20.6,26.6,26.0,26.7,29.5,38.1,37.3,41.6,30.9,28.6,30.8,32.9,69.0,80.0,68.0,63.0,165.0,119.0,177.0,189.0,3.3,4.8,8.0,4.7,30.5
351.0,4.4,183.0,7.8,32.5,60,4.0,8,6,9,1,20.233333333333334,31.76666666666667,-0.3000000000000007,-0.29999999999999716,6.0,0.6958041714753785,646.75,1194.0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,-0.45399049973954697,0.8910065241883678,23.200000000000003,3.8257025498590904,19.9,29.1,27.575000000000003,6.04906078359565,19.9,38.4,33.233333333333334,5.443405796618902,28.6,41.6,39.44166666666667,8.613357315380739,28.6,54.9,20.2,22.8,23.8,26.2,28.9,32.7,34.1,40.9,31.9,29.8,31.2,33.4,64.0,75.0,67.0,61.0,177.0,145.0,180.0,190.0,3.6,3.9,5.9,4.3,31.3
360.0,5.5,185.0,8.2,32.9,58,6.4,9,6,9,1,20.166666666666668,32.43333333333334,0.5,0.6999999999999993,2.0,0.6962457100257436,671.16,1183.1999999999998,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,-0.7880107536067218,0.6156614753256585,21.75,2.5921033929992414,19.9,26.6,26.075,5.306963692768405,19.9,35.9,31.183333333333337,3.6988737024483616,28.6,38.1,37.30833333333333,7.540009444572401,28.6,51.3,19.9,20.6,23.2,26.5,28.6,29.5,33.2,41.2,32.5,30.9,31.5,33.7,60.0,69.0,65.0,59.0,183.0,165.0,181.0,188.0,4.0,3.3,6.3,4.6,34.6
